Edad;PASEM 2020;RH1982;LC 1982aj
0;1000000;1000000;1000000
1;998181.5000;987881.8720;992605.1782
2;998050.8380;986932.9739;992026.6125
3;997941.7511;986294.6346;991637.3161
4;997852.0361;985871.6049;991379.2905
5;997778.2949;985513.7986;991161.0178
6;997715.8339;985211.2922;990976.4588
7;997660.4607;984937.4418;990809.3648
8;997608.5824;984667.6064;990644.7028
9;997558.4027;984419.5017;990493.2870
10;997508.0260;984193.1108;990355.1111
11;997454.4598;984014.9876;990246.3879
12;997393.9143;983820.1723;990127.4662
13;997320.6058;983619.4936;990004.9555
14;997228.1542;983416.8887;989881.2590
15;997109.4841;983109.1274;989693.3359
16;996957.8237;982777.8756;989491.0417
17;996769.6978;982287.5914;989191.5636
18;996545.6239;981665.0185;988811.1794
19;996321.6005;980976.1311;988390.1589
20;996093.0443;980198.5251;987914.7642
21;995858.9624;979356.8962;987400.0509
22;995618.8608;978600.1462;986937.1101
23;995371.8478;977896.7851;986506.7113
24;995118.6252;977188.0672;986072.9100
25;994859.6953;976585.3278;985703.8925
26;994596.5550;975968.3212;985326.0452
27;994332.2906;975463.8763;985017.0703
28;994069.7869;974950.9169;984702.8152
29;993811.7264;974499.6190;984426.2873
30;993560.1927;974023.2056;984134.3129
31;993314.0878;973547.0252;983842.4251
32;993071.7192;973152.8184;983600.7492
33;992829.5090;972669.2812;983304.2469
34;992581.5002;972152.9309;982987.5563
35;992319.8557;971593.1322;982644.1382
36;992036.2507;971018.1191;982291.3039
37;991725.6441;970375.5178;981896.8911
38;991384.5897;969720.7356;981494.8944
39;991011.6308;968970.4617;981034.1270
40;990605.0187;968252.9526;980584.1281
41;990161.0295;967568.1354;980144.8836
42;989673.6723;966859.8474;979670.1220
43;989109.4593;966101.6852;979141.9014
44;988447.0527;965292.5799;978557.2732
45;987665.9819;964461.7748;977933.6417
46;986747.1562;963558.8852;977213.0526
47;985669.1349;962630.7198;976422.6512
48;984405.1128;961596.9641;975491.3406
49;982932.6397;960488.5102;974434.1973
50;981226.0720;959357.8701;973295.0619
51;979263.1292;958129.7961;972002.2686
52;977093.4739;956799.4118;970522.8480
53;974705.1643;955328.3471;968835.2702
54;972086.7163;953920.3870;967156.6160
55;969226.1567;952313.5959;965170.3054
56;966109.9008;950682.2332;963086.2622
57;962722.4297;948925.7632;960797.0981
58;959046.3703;947073.5436;958347.2807
59;955063.4508;945171.1456;955791.2387
60;950754.9685;943173.3307;953048.9492
61;946102.3540;940973.1563;950016.1180
62;941087.1600;938743.6955;946872.5087
63;935689.4605;936416.1255;943557.5064
64;929886.5016;933985.3353;940077.0511
65;923651.1477;931513.0239;936509.0643
66;916950.6128;928888.4803;932716.1885
67;909745.8568;926150.6224;928735.0799
68;901990.2733;923460.7800;924807.5202
69;893629.0039;920618.4194;920592.0190
70;884598.5254;917706.9535;916233.4397
71;874825.9231;914673.1750;911572.8309
72;864227.8445;911541.7904;906668.9281
73;852710.0207;908300.8820;901502.7411
74;840168.7881;905004.7407;896075.2310
75;826492.6886;901561.0873;890205.2112
76;811565.1562;897965.3723;883859.2930
77;795266.8178;894305.4755;877091.6396
78;777476.5400;890451.9293;869559.3714
79;758074.8462;886447.0336;861205.0827
80;736947.2245;882183.9281;851773.5723
81;713988.7391;877620.2919;840986.6834
82;689087.5250;872845.1590;829018.9368
83;662150.5424;867739.3351;815454.5749
84;633112.9898;862151.7767;799767.7386
85;601948.5094;856139.0742;781685.4334
86;568682.3066;849645.1540;760863.8954
87;533406.2607;842829.4969;737658.3970
88;496291.5864;835661.8329;711672.5325
89;457601.6372;827759.1085;681188.1404
90;417701.3828;819424.5734;647094.8998
91;377058.2446;810270.9626;608299.5750
92;336232.6780;794184.8735;565502.8953
93;295852.5791;775957.2212;519933.9051
94;256577.5575;755750.9980;468990.2030
95;219054.8858;733743.7322;417230.6469
96;183876.2921;710124.8979;367346.2094
97;151546.3534;685093.2111;320047.5180
98;122457.2582;658853.8664;275895.4298
99;96869.2875;631615.7624;235296.9271
100;74898.3935;603588.7749;198508.5438
101;56513.5118;574981.1194;165646.2983
102;41959.1858;545996.8570;136700.8112
103;29502.0406;516833.5739;111556.1022
104;19010.0028;487680.2747;90010.5240
105;10670.3298;458715.5182;71798.3623
106;4850.4833;430105.8121;56610.8060
107;1635.9026;402004.2889;44115.2350
108;363.8974;374549.6632;33972.0550
109;44.8278;347865.4766;25848.6016
110;2.3567;322059.6248;19429.9125
111;0.0000;297224.1547;14426.4067
112;0.0000;0.0000;0.0000
113;0.0000;0.0000;0.0000
114;0.0000;0.0000;0.0000
115;0.0000;0.0000;0.0000
116;0.0000;0.0000;0.0000
117;0.0000;0.0000;0.0000
118;0.0000;0.0000;0.0000
119;0.0000;0.0000;0.0000
120;0.0000;0.0000;0.0000
